0		Во время битвы между силами Магнето и героями , кто восстановил свои воспоминания , мутант Лайла Миллер смогла восстановить воспоминания Магнето об оригинальной реальности .	[root[obl[case[Во]][время][nmod[битвы][nmod[case[между]][силами][nmod[Магнето]][conj[cc[и]][героями][acl:relcl[punct[,]][nsubj[кто]][восстановил][obj[det[свои]][воспоминания]][punct[,]]]]]]][nsubj[мутант][appos[Лайла][flat:name[Миллер]]]][смогла][xcomp[восстановить][obj[воспоминания][nmod[Магнето]][nmod[case[об]][amod[оригинальной]][реальности]]]][punct[.]]]
1		Когда он будет заполнен , у драконов появляется возможность перейти в режим ярости , силе которого не способен сопротивляться ни один противник в игре .	[root[advcl[mark[Когда]][nsubj:pass[он]][aux:pass[будет]][заполнен][punct[,]]][obl[case[у]][драконов]][появляется][nsubj[возможность][acl[перейти][obl[case[в]][режим][nmod[ярости]][acl:relcl[punct[,]][iobj[силе]][nmod[которого]][advmod[не]][способен][xcomp[сопротивляться]][nsubj[nummod[advmod[ни]][один]][противник][nmod[case[в]][игре]]]]]]][punct[.]]]
2		Главная пара используется весь сезон и имеет значения 1 : 27454 , 1 : 41762 , 1 : 45717 и 1 : 42064 .	[root[nsubj[amod[Главная]][пара]][используется][obl[det[весь]][сезон]][conj[cc[и]][имеет][obj[значения][appos[1][nmod[punct[:]][27454]][conj[punct[,]][1][nmod[punct[:]][41762]]][conj[punct[,]][1][nmod[punct[:]][45717]]][conj[cc[и]][1][nmod[punct[:]][42064]]]]]][punct[.]]]
3		Этим же постановлением устанавливалась окружная и районная система деления края .	[root[obl[det[Этим][advmod[же]]][постановлением]][устанавливалась][nsubj[amod[окружная][conj[cc[и]][районная]]][система][nmod[деления][nmod[края]]]][punct[.]]]
4		Позже вышел имеющий силу Закона Указ Президента Республики Казахстан от 15 сентября 1995 г .	[root[advmod[Позже]][вышел][nsubj[acl[имеющий][obj[силу][nmod[Закона]]]][Указ][nmod[Президента][nmod[Республики][appos[Казахстан]]]][nmod[case[от]][15][flat[сентября][nmod[amod[1995]][г]]]]][punct[.]]]
5		Но в 1920 году он переехал во дворец Дорн , где прожил до своей смерти в 1941 году .	[root[cc[Но]][obl[case[в]][amod[1920]][году]][nsubj[он]][переехал][obl[case[во]][дворец][appos[Дорн]][acl:relcl[punct[,]][advmod[где]][прожил][obl[case[до]][det[своей]][смерти]][obl[case[в]][amod[1941]][году]]]][punct[.]]]
6		Придаток в мужском початке , сидячий , загнутый или закрученный , бледно-зелёный , в основании узкоцилиндрический , на вершине нитевидный , до 20 см длиной , голый , в основании около 3 мм в диаметре .	[root[nsubj[Придаток]][case[в]][amod[мужском]][початке][conj[punct[,]][сидячий]][conj[punct[,]][загнутый][conj[cc[или]][закрученный]]][conj[punct[,]][бледно-зелёный]][conj[punct[,]][nmod[case[в]][основании]][узкоцилиндрический]][conj[punct[,]][obl[case[на]][вершине]][нитевидный]][conj[punct[,]][case[до]][nummod[20]][см][nmod[длиной]]][conj[punct[,]][голый]][conj[punct[,]][nmod[case[в]][основании]][case[около]][nummod[3]][мм][nmod[case[в]][диаметре]]][punct[.]]]
7		Закончил Харьковский , а затем и Петроградский университет .	[root[Закончил][obj[amod[Харьковский][conj[punct[,]][cc[а]][advmod[затем]][advmod[и]][Петроградский]]][университет]][punct[.]]]
8		С самого детства Сергей отличался разносторонностью интересов и желанием познавать и учиться .	[root[obl[case[С]][amod[самого]][детства]][nsubj[Сергей]][отличался][obj[разносторонностью][nmod[интересов]][conj[cc[и]][желанием][acl[познавать][conj[cc[и]][учиться]]]]][punct[.]]]
9		Осада была снята , и , преследуя разбежавшегося неприятеля , Бебутов успел захватить два орудия и два знамени , затем , отрядив , против Ахмет - бека генерала Бурцева , нанес неприятелю 30 апреля полное поражение при Цурцкабе .	[root[nsubj:pass[Осада]][aux:pass[была]][снята][conj[punct[,]][cc[и]][advcl[punct[,]][преследуя][obj[acl[разбежавшегося]][неприятеля]][punct[,]]][nsubj[Бебутов]][успел][xcomp[захватить][obj[nummod:gov[два]][орудия][conj[cc[и]][nummod:gov[два]][знамени]]]][conj[punct[,]][advmod[затем]][advcl[punct[,]][отрядив][punct[,]][obl[case[против]][Ахмет][flat:name[punct[-]][бека]]][obj[генерала][appos[Бурцева]]][punct[,]]][нанес][iobj[неприятелю]][obl[30][flat[апреля]]][obj[amod[полное]][поражение]][obl[case[при]][Цурцкабе]]]][punct[.]]]
10		В ходе этого обширного наступления была освобождена территория Белоруссии , восточной Польши и часть Прибалтики и практически полностью разгромлена германская группа армий `` Центр &#39;&#39; .	[root[obl[case[В]][ходе][nmod[det[этого]][amod[обширного]][наступления]]][aux:pass[была]][освобождена][nsubj:pass[территория][nmod[Белоруссии][conj[punct[,]][amod[восточной]][Польши]]][conj[cc[и]][часть][nmod[Прибалтики]]]][conj[cc[и]][advmod[advmod[практически]][полностью]][разгромлена][nsubj:pass[amod[германская]][группа][nmod[армий]][appos[punct[``]][Центр][punct[&#39;&#39;]]]]][punct[.]]]
11		Член Русского ПЕН - центра .	[root[Член][appos[amod[Русского]][compound[ПЕН][punct[-]]][центра]][punct[.]]]
12		Название дано европейцами ближайшему к ним восточному региону .	[root[nsubj:pass[Название]][дано][obl:agent[европейцами]][iobj[amod[ближайшему][nmod[case[к]][ним]]][amod[восточному]][региону]][punct[.]]]
13		С 1986 года эсминец `` Боевой &#39;&#39; был включён в состав 175-ой бригады ракетных кораблей 10-ой опэск ( оперативной эскадры ) Тихоокеанского флота ВМФ СССР .	[root[obl[case[С]][amod[1986]][года]][nsubj:pass[эсминец][appos[punct[``]][Боевой][punct[&#39;&#39;]]]][aux:pass[был]][включён][obl[case[в]][состав][nmod[amod[175-ой]][бригады][nmod[amod[ракетных]][кораблей]][nmod[amod[10-ой]][опэск][appos[punct[(]][amod[оперативной]][эскадры][punct[)]]]]][nmod[amod[Тихоокеанского]][флота][nmod[ВМФ][nmod[СССР]]]]][punct[.]]]
14		22 июня 1987 года корабль начал переход на Тихоокеанский флот с несением боевой службы в Персидском заливе ( провёл 22 судна в 16 конвоях ) .	[root[obl[22][flat[июня][nmod[amod[1987]][года]]]][nsubj[корабль]][начал][obj[переход][nmod[case[на]][amod[Тихоокеанский]][флот]][nmod[case[с]][несением][nmod[amod[боевой]][службы][nmod[case[в]][amod[Персидском]][заливе]]]]][parataxis[punct[(]][провёл][obj[nummod:gov[22]][судна]][obl[case[в]][nummod[16]][конвоях]][punct[)]]][punct[.]]]
15		Отличился во время освобождения Белорусской ССР .	[root[Отличился][obl[case[во]][время][nmod[освобождения][nmod[amod[Белорусской]][ССР]]]][punct[.]]]
16		С начала Великой Отечественной войны -- на её фронтах .	[root[orphan[case[С]][начала][nmod[amod[Великой]][amod[Отечественной]][войны]]][punct[--]][case[на]][det[её]][фронтах][punct[.]]]
17		Расположена в центральной части области в 5 км к юго-востоку от Ярцева , в 5 км южнее автодороги , на берегу реки Великая .	[root[Расположена][obl[case[в]][amod[центральной]][части][nmod[области]]][obl[case[в]][nummod[5]][км]][obl[case[к]][юго-востоку][nmod[case[от]][Ярцева]]][obl[punct[,]][case[в]][nummod[5]][км][nmod[case[южнее]][автодороги]]][obl[punct[,]][case[на]][берегу][nmod[реки][appos[Великая]]]][punct[.]]]
18		Фрэ́нсис Бэй ( ) , в девичестве -- Го́ффман ( ; 23 января 1919 `` Альберта , Канада -- 15 сентября 2011 `` Лос-Анджелес , Калифорния , США ) -- канадо-американская актриса .	[root[nsubj[Фрэ́нсис][flat:name[Бэй]][punct[(]][punct[)]][appos[punct[,]][nmod[case[в]][девичестве]][punct[--]][Го́ффман]][list[punct[(]][punct[;]][23][flat[января][nmod[1919]][nmod[punct[--]][15][flat[сентября][nmod[2011]]][list[punct[``]][Лос-Анджелес][list[punct[,]][Калифорния]][list[punct[,]][США]]]]][list[punct[``]][Альберта][punct[,]]][list[Канада]][punct[)]]]][punct[--]][amod[канадо-американская]][актриса][punct[.]]]
19		Вартислав был убит между 1135 и 1148 годами , ему наследовал брат Ратибор .	[root[nsubj:pass[Вартислав]][aux:pass[был]][убит][obl[case[между]][amod[1135][conj[cc[и]][1148]]][годами]][punct[,]][parataxis[iobj[ему]][наследовал][nsubj[брат][appos[Ратибор]]]][punct[.]]]
20		`` Венера - 6 &#39;&#39; -- советская автоматическая научно-исследовательская космическая станция .	[root[nsubj[punct[``]][Венера][nummod:entity[punct[-]][6]][punct[&#39;&#39;]]][punct[--]][amod[советская]][amod[автоматическая]][amod[научно-исследовательская]][amod[космическая]][станция][punct[.]]]
21		Фридрих был сыном прусского кронпринца Вильгельма и его супруги Августы Саксен - Веймарской и являлся вторым в линии наследования трона Пруссии вслед за отцом .	[root[nsubj[Фридрих]][cop[был]][сыном][nmod[amod[прусского]][кронпринца][appos[Вильгельма]][conj[cc[и]][det[его]][супруги][appos[Августы][flat:name[Саксен][flat:name[punct[-]][Веймарской]]]]]][conj[cc[и]][являлся][xcomp[вторым][nmod[case[в]][линии][nmod[наследования][nmod[трона][nmod[Пруссии]]]]][obl[advmod[вслед]][case[за]][отцом]]]][punct[.]]]
22		После свержения во Франции правительства Виши ношение этого Военного креста было запрещено ( с 7 января 1944 года ) .	[root[obl[case[После]][свержения][nmod[case[во]][Франции]][nmod[правительства][nmod[Виши]]]][nsubj:pass[ношение][nmod[det[этого]][amod[Военного]][креста]]][aux:pass[было]][запрещено][obl[punct[(]][case[с]][7][flat[января][nmod[amod[1944]][года]]][punct[)]]][punct[.]]]
23		Яков Андреевич , родоначальник Всеволожских последующего времени , служил стольником и участвовал в крымском походе , в котором и умер в 1689 году .	[root[nsubj[Яков][flat:name[Андреевич]][appos[punct[,]][родоначальник][nmod[Всеволожских][nmod[amod[последующего]][времени]]][punct[,]]]][служил][obj[стольником]][conj[cc[и]][участвовал][obl[case[в]][amod[крымском]][походе][acl:relcl[punct[,]][obl[case[в]][котором]][advmod[и]][умер][obl[case[в]][amod[1689]][году]]]]][punct[.]]]
